lifter,age,bodyWeight,snatch1,snatch2,snatch3,snatchBest,cj1,cj2,cj3,cjBest,total
"Christian Reyes","Men's Masters (40-44) 73kg",71,0,0,83,83,0,0,112,112,195
"Theron Hawkins","Open Men's 81kg",76.1,0,0,85,85,0,0,110,110,195
"Cole Resurreccion","Junior Men's 81kg",78.6,0,0,88,88,0,0,106,106,194
"Efrain Cruz Torres","Open Men's 89kg",86,0,0,84,84,0,0,109,109,193
"Mitchell Ferguson","Men's 16-17 Age Group 96kg",92.2,0,0,91,91,0,0,100,100,191
"Kevin Li","Junior Men's 81kg",79.1,0,0,80,80,0,0,102,102,182
"Robert Tuck","Men's Masters (35-39) 81kg",75,0,0,80,80,0,0,102,102,182
"Jonathan Larcom","Open Men's 73kg",72.74,0,0,86,86,0,0,95,95,181
"Nathan Cleghorn","Men's 16-17 Age Group 96kg",93,0,0,80,80,0,0,100,100,180
"Gavin Dunkin","Junior Men's 73kg",72.4,0,0,75,75,0,0,96,96,171
"Flynn King","Men's 14-15 Age Group 67kg",63,0,0,74,74,0,0,97,97,171
"Ahmad Almansoor","Men's Masters (35-39) 73kg",71.8,0,0,78,78,0,0,93,93,171
"David nogaki","Men's Masters (50-54) 102kg",102,0,0,75,75,0,0,93,93,168
"Jennifer White","Women's Masters (40-44) 71kg",68.1,0,0,75,75,0,0,86,86,161
"Joongbom Park","Open Men's 67kg",66,0,0,70,70,0,0,90,90,160
"Monica Rios","Open Women's 71kg",70,0,0,67,67,0,0,92,92,159
"Kelsey Butler","Open Women's 71kg",69.5,0,0,70,70,0,0,88,88,158
"Renee Hutchins","Junior Women's +87kg",100,0,0,71,71,0,0,85,85,156
"Ryo Osawa","Men's Masters (50-54) 73kg",73,0,0,68,68,0,0,88,88,156
"Aimee Anaya Everett","Women's Masters (45-49) 71kg",71,0,0,73,73,0,0,80,80,153
"Bailey Barnick","Open Women's 76kg",72.9,0,0,72,72,0,0,81,81,153
"Stephany Wilson","Open Women's 64kg",59.7,0,0,70,70,0,0,81,81,151
"Cole Horn","Men's 16-17 Age Group 67kg",61.9,0,0,63,63,0,0,82,82,145
"Alexandra Prymek","Open Women's 71kg",70.9,0,0,65,65,0,0,79,79,144
"Tate Fegley","Men's 13 Under Age Group +73kg",86,0,0,61,61,0,0,80,80,141
"Devin Craig-Schwartz","Junior Women's 71kg",65.5,0,0,64,64,0,0,77,77,141
"Cole Williams","Men's 16-17 Age Group 61kg",60.2,0,0,70,70,0,0,70,70,140
"Skyler Peebles","Open Women's +87kg",119.6,0,0,62,62,0,0,75,75,137
"Scott Mitchell","Men's 14-15 Age Group 81kg",79.6,0,0,66,66,0,0,70,70,136
"Madison Cook","Open Women's 71kg",67,0,0,63,63,0,0,72,72,135
"Margaret Klimchuck","Open Women's 64kg",63.4,0,0,60,60,0,0,74,74,134
"Laney Schol","Open Women's 64kg",63.95,0,0,59,59,0,0,75,75,134
"TIMOTHY NEAL","Men's 14-15 Age Group 61kg",58.8,0,0,57,57,0,0,75,75,132
"Alissa Horton","Junior Women's 64kg",64,0,0,62,62,0,0,69,69,131
"Annie Gough","Open Women's 64kg",61.8,0,0,59,59,0,0,70,70,129
"Karla  Ramon","Junior Women's 64kg",64,0,0,56,56,0,0,70,70,126
"lucia page sander","Women's 16-17 Age Group 71kg",69,0,0,60,60,0,0,65,65,125
"Elizabeth Eiting","Junior Women's 71kg",69.8,0,0,55,55,0,0,70,70,125
"Amy Nolan","Open Women's 71kg",65,0,0,56,56,0,0,69,69,125
"Haley Headrick","Open Women's 64kg",60.7,0,0,51,51,0,0,65,65,116
"Susanna Eng","Open Women's 59kg",59,0,0,52,52,0,0,63,63,115
"Trina Sumodobila","Women's Masters (40-44) 71kg",67.75,0,0,52,52,0,0,62,62,114
"Emma Yoder","Women's 16-17 Age Group 71kg",64.8,0,0,53,53,0,0,61,61,114
"Stephanie Broadbent","Open Women's 81kg",77,0,0,47,47,0,0,61,61,108
"Paige Steuber","Open Women's 55kg",52.09,0,0,49,49,0,0,55,55,104
"Gina Cantelmi","Open Women's 55kg",54.9,0,0,43,43,0,0,60,60,103
"Angela White","Women's Masters (40-44) 64kg",64,0,0,47,47,0,0,55,55,102
"Brandi Herring","Women's Masters (60-64) 81kg",79,0,0,40,40,0,0,61,61,101
"Litsa Olsson","Women's Masters (60-64) 71kg",69.73,0,0,43,43,0,0,56,56,99
"Katelyn Bailey","Women's 16-17 Age Group 71kg",69.8,0,0,42,42,0,0,57,57,99
"Maddy DeRita","Open Women's 71kg",66,0,0,42,42,0,0,57,57,99
"Diana Tidler","Women's Masters (50-54) 71kg",67,0,0,43,43,0,0,53,53,96
"Patti Kato","Women's Masters (50-54) 64kg",60,0,0,41,41,0,0,49,49,90
"Tyler Stewart","Men's 14-15 Age Group 44kg",43.1,0,0,30,30,0,0,38,38,68
"Jackson Hungerford","Men's 13 Under Age Group 67kg",64,0,0,27,27,0,0,33,33,60
"Alex Papale","Junior Men's 109kg",105,95,103,-105,103,127,133,-142,133,236
"Donovan Agelvis","Junior Men's 96kg",91.72,87,92,96,96,-112,115,125,125,221
"Jose Correa","Junior Men's 89kg",88.27,75,80,85,85,100,104,108,108,193
"jahvani vasquez","Men's 16-17 Age Group 73kg",70.09,75,80,85,85,95,100,104,104,189
"Palmer Agelvis","Men's 16-17 Age Group 89kg",87,55,60,65,65,75,80,85,85,150
"Anthony Dela Cruz","Men's 16-17 Age Group 55kg",53.45,55,59,-61,59,67,73,77,77,136
"Madelyn Wilson","Junior Women's +87kg",113.6,54,57,-60,57,76,-83,-83,76,133
"Brice Ford","Junior Men's 73kg",68,50,54,60,60,60,68,71,71,131
"Courtnie Lee","Junior Women's 71kg",70,55,-58,-58,55,65,70,73,73,128
"Taylor Ford","Women's 14-15 Age Group 64kg",64,40,46,50,50,60,68,72,72,122
"Sarah Griffin","Junior Women's 49kg",48.5,33,38,-41,38,43,53,-60,53,91
"Rylee Jacobsen","Men's 13 Under Age Group +73kg",79.09,18,21,23,23,20,25,28,28,51
"Seth Barba","Men's 16-17 Age Group 73kg",71.8,85,90,-91,90,105,110,-112,110,200
"Miles Gongora","Men's 14-15 Age Group 61kg",56.5,42,45,-47,45,50,55,58,58,103
"MICHAEL HUSZKA","Men's 16-17 Age Group 67kg",63.6,0,0,0,0,0,0,0,0,0
"Michael Huszka","Men's Masters (55-59) 89kg",88.6,0,0,0,0,0,0,0,0,0
"Aaron Williams","Open Men's +109kg",176.75,-175,-178,178,178,220,229,-238,229,407
"Jacob Herbert","Open Men's +109kg",165.4,151,158,163,163,185,191,-195,191,354
"Ryan Sester","Open Men's 102kg",101.83,155,160,-165,160,190,-200,-205,190,350
"Drake Thompson","Open Men's 109kg",107.53,149,155,161,161,-185,186,-192,186,347
"Cesar Flores","Open Men's +109kg",158.7,148,-152,-153,148,192,196,-200,196,344
"Dimitri Albury","Open Men's +109kg",180.1,-146,146,-151,146,-192,192,197,197,343
"Xavier Borde","Open Men's 109kg",109,143,148,152,152,180,-188,188,188,340
"Matthew Naugle","Open Men's +109kg",127.35,152,-156,-156,152,183,-188,188,188,340
"Daniel Dodd","Open Men's 96kg",95.27,143,-148,148,148,182,-188,190,190,338
"Zachary Huse","Open Men's +109kg",118.75,140,144,-148,144,185,-190,193,193,337
"Chrisanto D'Agostino","Open Men's 96kg",95.8,147,-151,-152,147,178,184,189,189,336
"Michael Bloomfield","Open Men's +109kg",133.8,142,148,153,153,175,183,-193,183,336
"Layne Palm","Open Men's 96kg",95.86,150,-153,153,153,-180,182,-187,182,335
"James Tice","Open Men's 109kg",109,145,150,-156,150,173,-178,182,182,332
"Caleb Weakland","Open Men's 102kg",101.3,139,144,150,150,-173,175,180,180,330
"Benson Robles","Open Men's 96kg",95.78,142,-147,-148,142,180,188,-195,188,330
"Sung An","Open Men's +109kg",128.65,140,145,-150,145,-182,184,-191,184,329
"Colin Reis","Open Men's 109kg",107.45,137,-142,142,142,178,183,187,187,329
"Thomas Duer","Men's Masters (35-39) +109kg",110.2,142,147,-151,147,172,-177,180,180,327
"Jacob Mattrella","Open Men's 109kg",105.5,-142,142,-148,142,180,185,-191,185,327
"Alexander Chiang","Open Men's 102kg",101.66,140,-144,145,145,180,-185,-185,180,325
"Beau Brown","Open Men's 96kg",95.99,-143,144,-148,144,177,181,-187,181,325
"David Jorge","Open Men's +109kg",119.8,143,-150,150,150,173,-182,-183,173,323
"John Hosler","Open Men's 102kg",99.75,140,144,-147,144,172,177,-182,177,321
"Edward Ginnan","Open Men's 81kg",81,-141,141,-146,141,180,-185,-185,180,321
"Joshua Magee","Open Men's 102kg",98.63,150,-155,-156,150,170,-177,-178,170,320
"Jonathan Morrow","Open Men's 89kg",88.45,141,145,-149,145,-170,171,175,175,320
"Will Easley","Open Men's 89kg",88.95,136,-141,-143,136,177,-183,183,183,319
"Jaimerius Williams","Open Men's 96kg",93.03,143,-149,151,151,163,-173,-176,163,314
"Kyle Martin Jr.","Men's 16-17 Age Group 89kg",87.85,137,143,-149,143,170,-178,-180,170,313
"Jimmy Marquez","Open Men's 96kg",95.22,-136,136,138,138,175,-180,-180,175,313
"Jean Laguerre Jr.","Open Men's +109kg",137.85,-135,135,-140,135,170,175,-182,175,310
"Huntington Hayes","Open Men's 96kg",94.69,-134,134,140,140,160,165,170,170,310
"Ryan Helton","Open Men's 102kg",100.72,130,-135,135,135,173,-177,-177,173,308
"Robert Durant","Open Men's 89kg",88.15,130,135,-140,135,167,-172,173,173,308
"Benjamin Brancaleon","Open Men's 109kg",105.4,133,140,145,145,-163,163,-170,163,308
"Zackary Burks","Open Men's 89kg",87.9,130,133,135,135,165,169,172,172,307
"Adam White","Open Men's 102kg",100.93,-130,130,137,137,170,-175,-175,170,307
"Troy Fries","Open Men's 81kg",80.81,130,135,-138,135,167,172,-176,172,307
"Andrew Guevara","Open Men's 109kg",107.25,137,-140,-140,137,170,-176,-176,170,307
"Hutton Boles","Open Men's 81kg",79.87,131,-136,139,139,160,164,167,167,306
"Mike Fleming","Open Men's 109kg",108.1,131,135,-140,135,157,163,170,170,305
"Patrick Whitmore","Open Men's 109kg",108.25,133,-137,-137,133,165,169,172,172,305
"Jacob Rebman","Open Men's 102kg",101.85,122,128,134,134,170,-176,-177,170,304
"Dylan Douglass","Open Men's +109kg",124.95,118,123,-130,123,172,-176,180,180,303
"Charles Shervheim","Open Men's 102kg",100.7,119,124,128,128,168,175,-182,175,303
"Caleb Johnson","Men's Masters (35-39) 102kg",101.64,132,-136,138,138,165,-170,-171,165,303
"Noah Bradley","Open Men's 96kg",94.58,124,128,133,133,160,170,-172,170,303
"Jabo Nguyen","Open Men's 109kg",108.4,130,-135,-135,130,172,-182,-185,172,302
"David Moehling","Open Men's 109kg",104.4,130,135,-137,135,165,-170,-170,165,300
"Denali Scoular","Open Men's 109kg",108.15,122,127,-132,127,168,-173,173,173,300
"George Upmeyer","Open Men's 89kg",89,130,135,-140,135,160,-165,165,165,300
"Scott Harris","Open Men's 102kg",101.15,127,-132,135,135,165,-172,-175,165,300
"Mike Swift","Open Men's 109kg",107.95,125,132,137,137,-162,162,-170,162,299
"Wyatt Coffey","Open Men's 89kg",88.25,135,-139,-142,135,-162,163,-170,163,298
"Joshua Mayhew","Open Men's 102kg",101.18,123,-127,128,128,165,170,-175,170,298
"Kincaid Young","Open Men's 109kg",108.85,125,129,-133,129,-168,169,-179,169,298
"Chris Garvey","Open Men's +109kg",124.65,128,-133,-133,128,165,170,-175,170,298
"Gladimy Coffy","Open Men's 96kg",95.69,132,-137,-137,132,-165,165,-170,165,297
"Chase Durham","Open Men's 96kg",95.01,-131,131,-136,131,161,165,-170,165,296
"Trevor Scantling","Open Men's 102kg",99.1,130,-134,-136,130,160,163,166,166,296
"Devon Kell","Open Men's 109kg",107.2,131,-136,-137,131,165,-170,-170,165,296
"Jake Anderson","Open Men's +109kg",126.35,130,135,-140,135,155,161,-165,161,296
"Lucas Zelehowsky","Open Men's 89kg",86.6,125,129,133,133,155,-162,162,162,295
"Ajeet Seenivasan","Open Men's 109kg",108.15,125,130,-134,130,155,160,165,165,295
"Mason Whitehead","Open Men's 102kg",97.57,125,-130,-130,125,165,170,-175,170,295
"Conner Popielarz","Open Men's 81kg",80.54,127,-131,-131,127,163,168,-173,168,295
"Spencer Green","Open Men's 89kg",86.7,125,129,-133,129,160,166,-171,166,295
"Christopher Branam","Men's Masters (35-39) 96kg",95.72,124,128,132,132,158,-162,162,162,294
"Andrew Gilcrest","Open Men's 96kg",94.28,127,-132,132,132,157,162,-167,162,294
"Dominique Laster","Open Men's 89kg",83.2,130,135,-140,135,158,-163,-165,158,293
"Jacob Tegeler","Open Men's 102kg",100.8,124,129,-133,129,158,163,-168,163,292
"Alexander Connery","Open Men's 96kg",95.46,127,132,-136,132,-160,160,-168,160,292
"Michael Sin","Open Men's 96kg",95.7,-126,-126,126,126,161,166,-170,166,292
"Marc Marquez","Open Men's 81kg",81,125,-130,130,130,162,-166,-167,162,292
"Deivy De La Hoz","Open Men's 96kg",95.67,132,136,-140,136,155,-160,-162,155,291
"Grant Pierson","Open Men's 89kg",88.6,125,129,-133,129,155,161,-164,161,290
"Jabari Prince","Men's Masters (35-39) 96kg",94.23,-125,125,-130,125,155,-161,165,165,290
"George Averitt","Open Men's 81kg",80.37,-122,124,128,128,-160,160,-169,160,288
"Nathan Prokop","Open Men's 96kg",94.63,123,-128,-128,123,161,165,-170,165,288
"Bronson Mintun","Open Men's 109kg",108.45,-130,133,-138,133,150,155,-163,155,288
"Nathan Moore","Open Men's 89kg",86.8,123,128,-133,128,160,-167,-167,160,288
"Alex Casey III","Open Men's 102kg",101.55,-125,-125,125,125,155,162,-168,162,287
"Timothy Clouatre","Men's Masters (35-39) +109kg",119.95,120,125,130,130,150,-157,157,157,287
"Cameron Fyffe","Open Men's 96kg",93.63,124,128,132,132,-154,154,-159,154,286
"Anthony DeCristofaro","Open Men's 89kg",88.4,125,-128,128,128,154,158,-162,158,286
"Lawrence Hooper","Men's 16-17 Age Group 96kg",95.15,120,125,129,129,145,151,157,157,286
"Ryan Hansen","Men's Masters (35-39) 109kg",107.81,125,-130,-131,125,-160,160,-171,160,285
"Albert Chun","Men's Masters (35-39) 109kg",107.3,120,-124,125,125,-160,160,-164,160,285
"Kaison Uehara","Open Men's 89kg",88.45,-115,118,121,121,158,-161,163,163,284
"James Battaglia","Open Men's 89kg",88.7,112,-117,118,118,160,166,-172,166,284
"Aaron Torres","Men's Masters (35-39) 109kg",108.95,121,-125,-125,121,-153,155,163,163,284
"Dakota Hooper","Open Men's 89kg",88.3,-116,117,-121,117,164,-173,-174,164,281
"KEVIN FRAME","Open Men's 89kg",87.95,-125,-125,125,125,151,156,-160,156,281
"Joseph Cosenza","Men's Masters (35-39) 89kg",85.75,120,-125,125,125,149,-155,155,155,280
"Arron Tate","Open Men's 89kg",88,120,-124,125,125,-152,155,-160,155,280
"Grant Reed","Open Men's 102kg",97.8,122,-127,-127,122,156,-161,-162,156,278
"Morgan Rummel","Open Men's 73kg",72.4,120,123,126,126,-148,149,152,152,278
"Thomas Brown","Open Men's 89kg",88.4,118,122,-130,122,151,156,-160,156,278
"Trevor Owens","Open Men's 81kg",80.42,119,123,-126,123,155,-160,-162,155,278
"Matthew Bernier","Open Men's 89kg",87.9,120,124,-129,124,153,-157,-158,153,277
"Keith Hicks","Men's Masters (35-39) +109kg",123.25,124,-127,127,127,150,-155,-155,150,277
"Will Said","Open Men's 109kg",105.6,-125,-125,125,125,-152,-152,152,152,277
"Maximilian Califf","Open Men's 89kg",88.65,116,-121,-121,116,155,160,-165,160,276
"Joseph Axtell","Open Men's 81kg",81,-120,120,-125,120,150,155,-160,155,275
"Matthew Boyd","Men's Masters (40-44) +109kg",139.8,-125,125,-130,125,150,-155,-155,150,275
"John Smith","Men's Masters (40-44) 109kg",106.6,117,124,-130,124,145,151,-156,151,275
"Jack Walbye","Open Men's 81kg",80.35,115,120,123,123,147,-152,152,152,275
"Tyree Harris II","Open Men's 81kg",80.4,117,121,-125,121,146,153,-160,153,274
"Matthew Adamcheck","Men's Masters (35-39) +109kg",118.05,110,115,120,120,150,153,0,153,273
"Jacob OConnor","Open Men's 73kg",72.2,117,120,-123,120,148,152,-157,152,272
"Francisco Barrios","Men's Masters (35-39) +109kg",124.1,117,-123,-124,117,149,-155,155,155,272
"Ryan McDonald","Men's 16-17 Age Group 73kg",72.25,-115,115,119,119,148,152,-160,152,271
"Andrew Malec","Open Men's 81kg",80.6,-121,-121,123,123,-145,-146,147,147,270
"Javan Freyenberger","Open Men's 81kg",80.7,116,120,123,123,142,147,-152,147,270
"gabe chhum","Open Men's 61kg",60.8,117,-122,125,125,145,-150,-152,145,270
"Thomas Bednar","Open Men's 81kg",80.66,122,-125,-125,122,147,-152,-155,147,269
"Primo Murillo","Open Men's 81kg",80.7,110,114,118,118,143,150,-157,150,268
"Ryan Walsh","Open Men's 81kg",80.7,117,121,-124,121,-145,145,-147,145,266
"Brandon Davis","Men's Masters (40-44) +109kg",113.25,115,120,123,123,143,-148,-150,143,266
"Joseph Gomez","Open Men's 89kg",86.6,-117,117,121,121,145,-150,-150,145,266
"Junius Fullard","Men's 16-17 Age Group +102kg",110,110,115,120,120,140,145,-151,145,265
"Benjamin Gabriel","Open Men's 81kg",79.85,-112,115,-118,115,150,-156,-156,150,265
"Jack Buis","Open Men's 81kg",78.6,110,-114,115,115,143,149,-155,149,264
"Ethan Bowen","Open Men's 73kg",72.75,110,115,-120,115,145,148,-152,148,263
"Stephen Butcher","Men's Masters (35-39) 102kg",102,107,114,120,120,135,143,-150,143,263
"Cory Ebert","Open Men's 81kg",80.25,110,113,-115,113,145,-150,150,150,263
"Gavin Hough","Men's Masters (40-44) +109kg",132,113,118,-121,118,145,-150,-151,145,263
"Alexander Souvall","Open Men's 81kg",80.75,114,118,-122,118,143,-148,-148,143,261
"Garrett Hess","Open Men's 81kg",80.3,117,-121,-122,117,140,-144,144,144,261
"Domenic Aversa","Men's Masters (35-39) 81kg",80.45,113,116,118,118,-143,143,-147,143,261
"Samuel McGinnity","Open Men's 73kg",73,111,-113,-113,111,150,-157,-161,150,261
"Kale Bunce","Men's 16-17 Age Group 81kg",76.5,112,116,118,118,136,141,-146,141,259
"Jose Barajas","Open Men's 81kg",78.95,-112,-113,113,113,145,-149,-154,145,258
"Evan Fukuhara","Open Men's 67kg",66.37,111,-116,-116,111,141,-144,145,145,256
"Timothy Walker","Men's Masters (35-39) 81kg",80.7,111,-115,-115,111,145,-150,-150,145,256
"Greg Cook","Open Men's 73kg",73,114,117,120,120,131,136,-140,136,256
"John Gilleland","Men's Masters (35-39) 81kg",80.75,114,-116,-116,114,-141,-141,141,141,255
"Pablo Castillo","Men's Masters (35-39) +109kg",139.75,105,110,-115,110,-145,-145,145,145,255
"Concepcion Cruz-Rodriguez","Open Men's 73kg",72.15,108,112,-116,112,139,-143,143,143,255
"Cory O'Connor","Open Men's 73kg",72.05,110,-113,-115,110,140,145,-150,145,255
"Jacob Elder","Men's Masters (35-39) 89kg",84.9,105,110,-115,110,145,-150,-150,145,255
"Michael Espinosa","Men's Masters (35-39) 89kg",87.1,109,116,-122,116,133,138,-141,138,254
"Justin Tebedo","Men's Masters (35-39) 89kg",88.65,109,-112,-115,109,135,-140,143,143,252
"Ethan Janssen","Men's 16-17 Age Group 89kg",86.95,108,112,115,115,-130,130,137,137,252
"nathan varney","Men's 16-17 Age Group 102kg",96.7,102,-107,-107,102,133,140,150,150,252
"Jordan Jacobs","Men's Masters (40-44) 102kg",100.15,-110,110,-115,110,140,-147,-154,140,250
"Nathan Gonzaga","Open Men's 73kg",71.9,102,105,110,110,135,140,-145,140,250
"Aaron Scott","Men's Masters (40-44) +109kg",135.85,110,115,-119,115,130,134,-138,134,249
"David Young","Men's Masters (35-39) 81kg",81,114,-118,-119,114,-134,134,-140,134,248
"Kevin Hill","Men's 16-17 Age Group 73kg",72.65,106,110,-113,110,138,-141,-142,138,248
"Jacob Flores","Open Men's 73kg",72.6,-102,103,108,108,135,139,-143,139,247
"Jonathan Hayes","Open Men's 73kg",72.65,-108,108,-111,108,135,139,-143,139,247
"Jose Cruz Richardson","Men's Masters (35-39) 102kg",101.15,110,114,-117,114,123,127,133,133,247
"Noah Ranno","Open Men's 73kg",72.55,106,-110,-112,106,136,140,-145,140,246
"Ross Twanmoh","Open Men's 73kg",72.55,106,-109,-110,106,135,140,-143,140,246
"Justin Barber","Open Men's 73kg",70.7,108,112,-115,112,128,133,-138,133,245
"Gregory Vallee","Men's Masters (50-54) +109kg",113.9,95,-98,102,102,130,136,142,142,244
"alec coulter","Open Men's 73kg",72.95,104,110,-116,110,134,-141,-144,134,244
"Charlie Spry","Men's Masters (40-44) 109kg",108.45,100,105,-109,105,130,-135,139,139,244
"juan leo baltierra","Men's Masters (40-44) 81kg",79.9,108,-112,-112,108,130,135,-140,135,243
"Brandon Duffner","Men's Masters (40-44) 109kg",105.95,104,108,-114,108,130,135,-140,135,243
"Jeffrey Suarez","Open Men's 67kg",66.56,-105,-105,106,106,135,-140,-142,135,241
"Stewart Ragan","Open Men's 73kg",73,105,108,-111,108,124,128,132,132,240
"Angelo Kelly","Open Men's 67kg",67,99,-102,-103,99,-135,-138,141,141,240
"Jacob Lynch","Open Men's 73kg",71,96,99,-103,99,135,140,-145,140,239
"Ruchit Patel","Open Men's 67kg",65.6,-102,103,107,107,-132,132,-136,132,239
"William Bromley","Men's Masters (40-44) 89kg",88.35,100,104,-108,104,130,134,-139,134,238
"Timothy Johnson","Men's Masters (40-44) 81kg",78.25,102,105,107,107,125,130,-134,130,237
"Christopher Camenares","Open Men's 67kg",65.47,100,105,-109,105,125,-130,132,132,237
"Jacob Cadieux","Open Men's 73kg",72.05,101,105,-108,105,127,132,-134,132,237
"Gregory Malnassy","Men's Masters (35-39) 89kg",89,96,-100,104,104,-128,128,132,132,236
"Robert Arroyo","Men's Masters (55-59) 96kg",93.06,103,106,108,108,-123,125,128,128,236
"Jason Ryu","Open Men's 73kg",72.15,98,-102,102,102,-134,-134,134,134,236
"Dylan Satkunam","Men's 16-17 Age Group 89kg",84.8,98,-102,-103,98,128,131,138,138,236
"Charles Arcario","Men's Masters (50-54) +109kg",109.75,105,-110,-110,105,-130,130,-135,130,235
"Evan Gehret","Open Men's 67kg",66.06,102,106,108,108,126,-131,-131,126,234
"Chase Dolfi","Open Men's 73kg",73,103,106,-109,106,125,128,-131,128,234
"cameron williams","Men's Masters (35-39) 89kg",84.8,-106,106,-109,106,124,128,-130,128,234
