lifter,age,bodyWeight,snatch1,snatch2,snatch3,snatchBest,cj1,cj2,cj3,cjBest,total
"Minna Ranjeva","Women's Masters (35-39) 71kg",68.8,-60,-60,60,60,75,-78,-78,75,135
"Sadie Bischoff","Women's 14-15 Age Group 59kg",57.1,-50,50,53,53,63,66,-68,66,119
"Anton Plakseychuk","Men's Masters (60-64) 81kg",78.67,52,-55,-55,52,62,64,66,66,118
"Blake Dobbs","Men's 14-15 Age Group 89kg",88.6,48,52,-55,52,57,60,63,63,115
"ANALY PINEDA","Open Women's 55kg",54.7,45,48,-50,48,60,65,-70,65,113
"Elizabeth Hoffman","Women's Masters (45-49) 71kg",67.95,42,45,-47,45,57,60,63,63,108
"Korinne Piper","Open Women's 64kg",62.8,40,43,-46,43,55,59,-63,59,102
"Christina Collins","Women's Masters (40-44) +87kg",88.75,40,44,48,48,48,52,-57,52,100
"Kehla  Norris","Women's Masters (35-39) 81kg",77.7,35,38,41,41,51,54,-57,54,95
"Rachel Webber","Open Women's +87kg",107,35,37,40,40,45,48,52,52,92
"Tiffany Martincic","Women's Masters (35-39) 87kg",82.85,35,38,0,38,48,51,54,54,92
"Caroline Brindo","Women's Masters (45-49) +87kg",92.8,35,37,39,39,46,50,-53,50,89
"Alyssa Burgmaster","Open Women's +87kg",97.6,32,34,37,37,45,48,51,51,88
"Colleen Hruska","Women's Masters (40-44) +87kg",92.8,-35,35,37,37,40,43,-46,43,80
"Kristin Burton","Women's Masters (40-44) 55kg",50.9,26,29,32,32,40,43,45,45,77
"Rory Magaro","Men's 13 Under Age Group 44kg",39.15,14,15,16,16,16,18,19,19,35
"Kaitlyn Reynolds","Women's 13 Under Age Group 36kg",36,12,13,15,15,14,15,16,16,31
"Ryleigh Reynolds","Women's 13 Under Age Group 36kg",34.65,12,13,15,15,14,15,16,16,31
"Makenna Reynolds","Women's 13 Under Age Group 30kg",24.25,5,6,7,7,5,6,7,7,14
"Jared Coon","Men's Masters (40-44) 109kg",108.65,125,130,-135,130,155,165,170,170,300
"Peter Gooding","Men's Masters (35-39) 96kg",96,125,130,-133,130,155,-160,-162,155,285
"Christopher Keegan","Open Men's 109kg",107.95,115,120,125,125,140,145,150,150,275
"Nicholas Connell","Open Men's 89kg",88.4,104,110,115,115,146,149,153,153,268
"Ben Ruskin","Open Men's 102kg",101.05,115,-119,-120,115,145,150,-154,150,265
"Isaiah Kelly","Open Men's 89kg",87.2,-115,115,-123,115,147,-152,-154,147,262
"Brayden Irving","Junior Men's 81kg",79.9,104,108,112,112,140,145,-150,145,257
"Brian Liu","Junior Men's 109kg",106.95,107,112,-115,112,132,-137,-137,132,244
"Eric Brandom","Men's Masters (35-39) 109kg",104.35,102,106,110,110,120,125,130,130,240
"Jacob Wynn","Open Men's 89kg",87.5,95,100,103,103,128,132,135,135,238
"Anthony Yasan","Open Men's 89kg",88.05,100,105,-110,105,120,125,-130,125,230
"Jeffrey Krishak","Open Men's 89kg",87.7,92,96,100,100,114,118,-122,118,218
"Lucas Bastin","Open Men's 81kg",79.65,84,88,92,92,113,117,122,122,214
"Georgios Vassilakis","Open Men's 109kg",107.95,85,90,93,93,110,115,120,120,213
"Corey Fenton","Men's Masters (35-39) 81kg",78.95,-80,85,91,91,-108,112,116,116,207
"Geoffrey Sullivan","Men's Masters (40-44) 89kg",88.95,82,-86,-91,82,-115,115,119,119,201
"Adam Kusser","Men's Masters (35-39) 109kg",106.35,80,84,88,88,100,105,110,110,198
"Steven Brough","Men's Masters (45-49) 81kg",74.95,-80,80,84,84,100,106,110,110,194
"Edwin Johnson","Men's Masters (40-44) 73kg",70.65,78,83,85,85,-98,98,103,103,188
"Joe Ciarla","Open Men's 89kg",83.75,70,75,78,78,100,105,110,110,188
"Evan Vassilakis","Junior Men's 81kg",76.3,-78,-80,80,80,100,103,106,106,186
"Owen Doyle","Open Men's 89kg",84.95,72,76,80,80,102,-106,106,106,186
"Nick  Bloom","Open Men's 96kg",95.25,70,75,-80,75,100,105,108,108,183
"Justin Chauvin","Open Men's +109kg",110.85,-71,71,76,76,99,103,107,107,183
"Jared Feist","Men's Masters (35-39) +109kg",113.35,77,80,82,82,90,95,100,100,182
"Bradford  Law","Open Men's 89kg",83.8,60,65,70,70,90,95,100,100,170
"Mark Sieczkowski","Men's Masters (45-49) 102kg",99,68,-71,-72,68,86,90,95,95,163
"Amanda Harmon","Open Women's 81kg",78.9,68,71,74,74,88,-91,0,88,162
"Liam Cincotta","Men's 16-17 Age Group 81kg",74.75,70,73,76,76,80,-84,85,85,161
"Rachel Morse","Women's Masters (35-39) 76kg",74.15,60,63,66,66,82,85,-88,85,151
"Josh Frank","Men's Masters (45-49) +109kg",115.55,65,-68,68,68,78,81,-84,81,149
"Ayana Acevedo","Open Women's 81kg",81,62,65,68,68,76,80,-84,80,148
"eric paradis","Men's Masters (50-54) 96kg",95.25,52,-54,-54,52,72,74,76,76,128
"Sara Ernst","Open Women's 64kg",61.65,52,-55,-58,52,-72,72,75,75,127
"Kristina Yu","Open Women's 59kg",58.15,-53,54,-57,54,67,71,-74,71,125
"Jennifer Riley","Women's Masters (45-49) 71kg",70.8,55,-57,57,57,67,-70,-70,67,124
"Erin Blette","Women's Masters (35-39) 59kg",59,-50,-51,51,51,-71,-71,71,71,122
"Lily Dickinson","Women's 16-17 Age Group 81kg",79.5,54,-56,-57,54,65,68,-70,68,122
"Jessica Arabi","Open Women's 87kg",86.1,48,51,54,54,60,64,67,67,121
"Thomas Farina","Men's Masters (60-64) 67kg",66.4,-47,47,49,49,70,-72,72,72,121
"Danielle Funaro","Women's Masters (35-39) 55kg",53.1,50,-53,-54,50,60,65,70,70,120
"Emily Hausman","Women's Masters (40-44) 71kg",69.55,-52,-52,52,52,64,67,-70,67,119
"Sasha Sarmento","Women's Masters (35-39) +87kg",98.5,47,-50,-51,47,60,65,68,68,115
"Jordana Brinckman","Open Women's 59kg",59,42,45,48,48,-59,59,63,63,111
"Sara Miller","Open Women's 76kg",74.5,-47,48,51,51,54,57,60,60,111
"Maryann Teichman","Women's Masters (35-39) 64kg",63.25,44,46,48,48,56,59,62,62,110
"Jennifer Schaefer","Women's Masters (50-54) 64kg",61.9,-45,-45,45,45,54,56,-59,56,101
"Caroline Kent","Junior Women's 59kg",57.55,38,40,42,42,48,51,54,54,96
"Tracey Norman","Women's Masters (45-49) 71kg",68.35,34,37,40,40,-50,50,53,53,93
"Anna Kent","Women's 14-15 Age Group 55kg",54.4,38,40,42,42,48,51,-54,51,93
"Sophia Rabb","Open Women's 76kg",74.2,36,38,40,40,49,52,-54,52,92
"Christine Bastien","Women's Masters (40-44) 76kg",75.85,37,39,-41,39,46,47,48,48,87
"Emily Louras","Open Women's +87kg",126.5,30,32,34,34,45,48,51,51,85
"Grace Parenti","Women's 14-15 Age Group 76kg",73,30,32,34,34,45,48,51,51,85
"Anthony  Samuel","Men's 13 Under Age Group 55kg",52.95,34,36,38,38,43,45,47,47,85
"Nathaniel Brennick","Men's 14-15 Age Group 55kg",51.25,32,34,36,36,44,47,-50,47,83
"Dolores Smith","Women's Masters (65-69) 71kg",66.45,30,33,35,35,45,-47,47,47,82
"Taylor Karabetsos","Women's 13 Under Age Group +64kg",80,33,35,-38,35,43,-45,45,45,80
"Eva Hershey","Junior Women's 76kg",73.75,27,29,31,31,35,-38,38,38,69
"Anneke Velthuizen","Open Women's 59kg",58.25,-27,27,-30,27,37,-40,-43,37,64
"Arya Vural","Women's 13 Under Age Group 55kg",54.85,22,24,26,26,31,33,35,35,61
"Caroline Brennick","Women's 16-17 Age Group 59kg",59,20,22,24,24,33,35,37,37,61
"Kaitlyn Garron","Women's 16-17 Age Group 55kg",54.75,24,25,26,26,30,32,34,34,60
"Siena Mazza","Women's 14-15 Age Group 59kg",57.5,22,24,26,26,27,29,-31,29,55
"Ravi Schackner","Men's 13 Under Age Group 36kg",33.25,17,18,19,19,22,25,-26,25,44
"Jessica Cummings","Women's Masters (40-44) 71kg",66.65,-70,-72,-72,0,0,0,0,0,0
"Sarah Barlow","Women's Masters (45-49) 64kg",62.7,48,-50,-50,48,-67,-67,-67,0,0
"Ramona Frank","Women's 13 Under Age Group 49kg",45.75,-20,-20,-20,0,23,25,-27,25,0
"Jacob LaCoste","Open Men's 102kg",100.1,120,127,134,134,158,167,177,177,311
"Rhashan Brazelton","Open Men's 89kg",81.75,108,0,0,108,133,0,135,135,243
"Baron Baker","Men's 14-15 Age Group 89kg",84,95,100,105,105,130,135,0,135,240
"Abram Davis","Open Men's 96kg",95.75,80,85,90,90,115,0,0,115,205
"Liam Bujanda","Men's 13 Under Age Group 67kg",64.8,78,80,83,83,95,100,0,100,183
"Shelby Krassilowsky","Open Women's 71kg",71,80,83,0,83,92,95,98,98,181
"Nathan Martin","Men's 16-17 Age Group 55kg",54.9,68,0,0,68,90,95,0,95,163
"Caden Brownell","Men's 14-15 Age Group 73kg",69.8,45,50,55,55,80,85,0,85,140
"Kevin Kreamer","Men's Masters (60-64) +109kg",111.3,55,60,0,60,70,78,0,78,138
"Madisyn Hudson","Open Women's +87kg",116.1,0,58,60,60,73,0,0,73,133
"Shelby Miller","Junior Women's 71kg",69.7,0,53,56,56,75,77,0,77,133
"Elijah Holmes","Men's 13 Under Age Group 61kg",55.55,50,53,0,53,65,70,75,75,128
"Amy Glockner","Women's Masters (45-49) 87kg",87,45,49,52,52,63,68,72,72,124
"Kelli Bethea","Open Women's 71kg",67.7,45,50,0,50,60,0,65,65,115
"Laura Rainier","Women's Masters (35-39) 59kg",57.8,0,43,46,46,57,59,63,63,109
"Jaiden Avila","Open Women's 55kg",54.8,45,47,0,47,57,60,0,60,107
"Dawn Sharp","Women's Masters (45-49) 59kg",57.9,40,0,42,42,53,56,60,60,102
"Cameron Comeaux","Men's 13 Under Age Group 49kg",46.6,35,38,0,38,53,55,58,58,96
"Felicia  Flake","Women's Masters (40-44) 64kg",61.7,30,33,36,36,38,42,45,45,81
"Aurelia Bujanda","Women's 13 Under Age Group 45kg",41.1,32,34,35,35,0,45,0,45,80
"Emily Terito","Women's 13 Under Age Group 49kg",48.2,32,34,35,35,0,0,45,45,80
"Mack Sharp","Men's 13 Under Age Group 49kg",44.8,22,0,25,25,34,36,38,38,63
"Nixon  Catalano","Men's 13 Under Age Group 32kg",27.5,19,22,25,25,28,31,34,34,59
"Emma Martin","Women's 13 Under Age Group 30kg",29.6,17,19,22,22,25,26,27,27,49
"Noah Gawarecki","Junior Men's 102kg",99.1,95,100,105,105,0,0,0,0,0
"Javan Patton","Junior Men's 96kg",96,100,105,0,105,0,0,0,0,0
"Calvin Barcena","Open Men's 89kg",85.7,113,-118,-121,113,145,151,157,157,270
"Derek Nguyen","Men's Masters (35-39) 73kg",71.25,110,115,-120,115,140,145,0,145,260
"Kevin Nelson","Open Men's 96kg",93.6,103,-108,-110,103,133,138,141,141,244
"Aaron  Cruz-Llamas","Open Men's 81kg",78.5,-103,-104,104,104,125,128,136,136,240
"Alex Carravetta","Open Men's 109kg",109,102,-106,108,108,125,130,-137,130,238
"Andrew Stephen","Open Men's 102kg",97.9,96,100,-104,100,130,134,137,137,237
"Christian Johnson","Open Men's 89kg",85.5,80,84,-89,84,110,114,-118,114,198
"Brice Palmer","Junior Men's 73kg",70.15,83,88,91,91,91,98,106,106,197
"Adam Schwartz","Open Men's 81kg",81,70,75,80,80,97,102,107,107,187
"Kevin Johnston","Men's Masters (35-39) 81kg",79.7,70,75,-81,75,96,101,-105,101,176
"Ashton Ridgeway","Junior Men's 67kg",61.3,65,68,-73,68,75,80,88,88,156
"Alexandra Hibbs","Women's 16-17 Age Group 64kg",62.9,55,58,60,60,64,67,71,71,131
"Kammy Pena","Open Women's 64kg",60.9,55,-60,-61,55,65,70,73,73,128
"Brittany Turcott","Open Women's 71kg",70.1,51,54,-57,54,71,74,-77,74,128
"Thea Sarhan","Women's 13 Under Age Group +64kg",91.45,-40,40,43,43,50,-53,53,53,96
"Natalia Pignatello","Women's 16-17 Age Group 71kg",65.65,36,-38,38,38,49,-53,-53,49,87
"Jonathan Zinger","Men's 16-17 Age Group 73kg",69.85,85,-90,-92,85,-102,-106,-106,0,0
"Gillian Peaden","Women's 16-17 Age Group +81kg",81.5,65,70,73,73,86,91,93,93,166
"Jaci Renfro","Women's 16-17 Age Group 59kg",56.7,62,66,70,70,77,-82,-82,77,147
"Camden Vaughn","Men's 14-15 Age Group 73kg",71.4,54,60,-63,60,74,-77,77,77,137
"Grace Masters","Junior Women's 55kg",54.4,43,46,50,50,55,60,65,65,115
"Mia Dieppa-Corbin","Women's 14-15 Age Group 59kg",57,42,-45,-45,42,57,61,-67,61,103
"Ella Sapp","Women's 16-17 Age Group 71kg",69.7,34,-37,-37,34,54,57,-62,57,91
"Marianne Masters","Women's 16-17 Age Group 55kg",51,30,34,37,37,45,48,-51,48,85
"Michael Pietkiewicz","Open Men's 89kg",89,110,115,-120,115,143,-150,150,150,265
"Joshua Cobia","Open Men's 96kg",91.85,85,88,91,91,110,115,-121,115,206
"Keli Holley","Women's Masters (40-44) 81kg",79.75,59,-62,-65,59,65,70,-75,70,129
"Natalie Wilson","Women's 14-15 Age Group 64kg",60.25,32,35,40,40,53,55,57,57,97
"Penelope Devereux","Women's 14-15 Age Group 49kg",47.7,36,38,-42,38,51,54,-56,54,92
"Amanda Devereux","Women's Masters (40-44) 71kg",65.75,34,36,38,38,42,45,47,47,85
"Anna Ward","Women's 16-17 Age Group 64kg",60.3,30,32,35,35,44,46,48,48,83
"Matthew Krause","Open Men's 96kg",95.1,125,130,135,135,160,170,175,175,310
"Caleb Johnson","Open Men's 109kg",103.9,120,125,130,130,146,151,157,157,287
"Jeffy Li","Open Men's 89kg",83.1,-110,-111,111,111,130,140,148,148,259
"Sergiy Turchyn","Open Men's 89kg",88.05,102,-107,107,107,135,140,145,145,252
"Sean Guterres","Open Men's 73kg",68.6,100,105,110,110,130,136,141,141,251
"Jedric Reyes","Open Men's 89kg",82.9,102,-107,110,110,130,135,140,140,250
"Christopher Robertson","Open Men's 89kg",87,107,-110,-110,107,125,129,132,132,239
"James Woodley","Open Men's 73kg",68.5,-101,101,104,104,125,129,131,131,235
"Marek Sabata","Open Men's 89kg",88.04,100,104,-108,104,114,119,123,123,227
"Alphonse Ortega","Open Men's 89kg",83.6,-97,97,100,100,120,124,127,127,227
"Dom Gomez","Open Men's 102kg",99.9,95,100,105,105,115,120,-125,120,225
"Josh McClendon","Open Men's 102kg",102,94,97,100,100,122,-125,-125,122,222
"Kevin Woo","Open Men's 81kg",78.7,90,95,-100,95,112,117,122,122,217
"Casey Crothers","Junior Men's 67kg",66.6,85,90,-95,90,115,120,125,125,215
"Razmig Shahvekilian","Open Men's 67kg",67,87,90,93,93,115,118,-118,118,211
"Blake West","Men's Masters (40-44) 89kg",85,90,-95,-95,90,110,-115,116,116,206
"Brendan Quock","Open Men's 96kg",90,-90,90,-92,90,108,112,116,116,206
"Kenton Chung","Men's Masters (35-39) 81kg",77.9,90,-95,-95,90,110,114,-118,114,204
"braxton mason","Open Men's +109kg",112.4,86,-89,90,90,110,114,-120,114,204
"Kyle Willson","Men's Masters (35-39) 89kg",86.7,88,-93,93,93,110,-114,-114,110,203
"Marciano Pimentel","Men's Masters (40-44) 96kg",91.9,82,85,-89,85,-113,113,117,117,202
"Yishay Wasserstrum","Open Men's 81kg",79.5,80,84,87,87,110,115,-118,115,202
"Gary Lim","Open Men's 89kg",86.4,80,85,89,89,105,110,-115,110,199
"SANTANA SAYAVONGSA","Men's Masters (40-44) 89kg",84.1,75,80,85,85,100,105,110,110,195
"Kenneth Mao","Men's Masters (40-44) 67kg",66.9,87,-90,90,90,100,105,0,105,195
"Michael Redona","Men's Masters (35-39) 81kg",80,80,-83,84,84,106,111,-116,111,195
"Elliot Leet","Men's 14-15 Age Group +89kg",95.5,75,78,81,81,105,110,-115,110,191
"Andrew Ramos","Men's Masters (35-39) 67kg",66.8,70,73,76,76,103,108,110,110,186
"Chris Michael  Velasquez","Open Men's +109kg",115.5,70,-80,-85,70,105,110,115,115,185
"Ken Liu","Open Men's 81kg",73.5,75,-79,81,81,90,98,103,103,184
"Brandon Beane","Open Men's 81kg",74.9,74,77,-80,77,100,-105,105,105,182
"Edrick Harvey Roxas","Men's Masters (35-39) 89kg",87.5,77,82,-90,82,95,100,-105,100,182
"Viet Vo","Open Men's 81kg",79.6,70,-74,76,76,93,97,100,100,176
"Geoffrey Price","Men's Masters (40-44) 96kg",89.1,75,78,-80,78,95,-98,-98,95,173
"Ethan Fong","Open Men's 67kg",66.4,-72,72,77,77,-90,94,-97,94,171
"Damien Hernandez","Open Men's 81kg",73.1,78,-81,-81,78,89,91,93,93,171
"Billy McKinzey","Open Men's 81kg",80.1,68,71,74,74,90,93,96,96,170
"Joshua Limtiaco","Open Men's 89kg",87.5,65,-70,72,72,92,97,-100,97,169
"Jaren Jae Delos Reyes","Men's 16-17 Age Group 61kg",60.5,72,-76,76,76,92,-97,-99,92,168
"Hunter Wolfe","Open Men's 89kg",87.4,70,73,-75,73,86,90,94,94,167
"Jade Morales","Women's 16-17 Age Group 55kg",50.7,65,67,69,69,90,93,96,96,165
"Christopher Duerrmeier","Men's Masters (40-44) 89kg",88.8,-75,-75,75,75,87,90,-94,90,165
"Eli Wankel","Junior Men's 81kg",79.5,65,68,73,73,-90,90,92,92,165
"Emma Seyer","Open Women's +87kg",91,70,73,-76,73,83,87,90,90,163
"Michael Cicciarelli","Men's Masters (55-59) 89kg",88.4,58,61,64,64,88,92,96,96,160
"Nate Peo","Open Men's 61kg",60.6,-66,66,-69,66,88,91,94,94,160
"Jonathan Weiss","Open Men's 81kg",73.7,61,63,67,67,80,84,90,90,157
"Osvaldo Garcia","Open Men's 67kg",64.8,63,66,68,68,-83,83,85,85,153
"Breanna Zide","Junior Women's +87kg",90.2,-63,63,66,66,-83,83,86,86,152
"ERICK RANGEL","Open Men's 81kg",76.4,-70,70,-75,70,75,78,81,81,151
"Kira Barad","Junior Women's +87kg",94,60,-63,63,63,80,83,-87,83,146
"Zoe Rangel","Women's 16-17 Age Group 71kg",65.6,-64,64,67,67,-78,78,-80,78,145
"Aaron Arguelles","Open Men's 89kg",84,55,60,65,65,70,75,80,80,145
"Ryleigh Frock","Open Women's 71kg",71,-58,61,-64,61,75,80,-85,80,141
"Yungchu Sanchez","Open Women's 64kg",60.6,55,59,62,62,70,75,78,78,140
"Kevin McPhee","Men's Masters (65-69) 81kg",80.8,55,59,62,62,66,69,72,72,134
"Regine Gabis","Open Women's 81kg",78.1,-52,56,58,58,65,71,75,75,133
"Ariana Canalez","Open Women's +87kg",101,47,50,52,52,75,78,80,80,132
"Sophia Miller","Open Women's 76kg",76,55,57,59,59,70,-73,73,73,132
"Leslie Liu","Open Women's 71kg",70.2,50,54,-57,54,70,73,-76,73,127
"Nadia Isidoro","Women's Masters (45-49) 59kg",57.9,50,55,-58,55,70,-73,-73,70,125
"Allison Avalos","Women's 13 Under Age Group 55kg",55,53,56,58,58,55,65,-70,65,123
"Earl Aguilera","Men's Masters (35-39) 81kg",78,48,51,54,54,60,65,68,68,122
"Nina Chan","Women's Masters (40-44) 64kg",63.3,50,53,-55,53,65,68,-70,68,121
"Issaias Cruz","Men's 16-17 Age Group 102kg",102,45,50,55,55,55,60,65,65,120
"Caylyn Major","Women's Masters (35-39) 71kg",71,45,48,51,51,64,68,-70,68,119
"Richard Zheng","Junior Men's 55kg",55,47,50,53,53,58,62,66,66,119
"Sherry Chen","Open Women's 76kg",72.3,-49,49,52,52,-63,66,-69,66,118
"Victoria Kam","Open Women's 64kg",59.9,48,50,-52,50,60,63,66,66,116
"Samantha Kopenski","Women's Masters (35-39) 59kg",57.5,47,51,54,54,45,60,-65,60,114
"Katea  Puamau","Women's 13 Under Age Group +64kg",116.6,-43,43,46,46,58,62,66,66,112
"Luke Ardinez","Men's 13 Under Age Group +73kg",80.8,40,45,48,48,57,62,64,64,112
"Kai Moore","Junior Women's 55kg",55,45,-47,-47,45,60,63,-65,63,108
"Cheryl Keener","Open Women's +87kg",89.3,43,45,47,47,56,61,-64,61,108
"Leah Putlek","Open Women's 64kg",63.7,42,44,-46,44,59,63,-65,63,107
"Athena Pham","Open Women's 55kg",53.8,43,-46,-46,43,60,-63,64,64,107
"Jared Afu","Men's 13 Under Age Group 73kg",70.1,40,43,46,46,55,58,61,61,107
"Pratima Satish","Open Women's 64kg",62.8,39,41,-43,41,56,59,-62,59,100
"Taneisha Arora","Open Women's 55kg",53,40,42,-45,42,55,58,-60,58,100
"Bethan Cole","Open Women's 59kg",57,40,42,-43,42,55,58,-60,58,100
"Sandra Guterres","Open Women's 59kg",55.7,34,38,41,41,47,51,55,55,96
"Eve Li","Open Women's 59kg",56.4,38,41,43,43,50,-53,53,53,96
"Rosaura Sandoval","Open Women's 76kg",71.8,36,38,40,40,48,51,53,53,93
"Amaya Huipe Hernandez","Women's 13 Under Age Group +64kg",72.89,-34,34,38,38,45,48,51,51,89
"Dylan Lee","Women's 13 Under Age Group 55kg",52.5,35,37,-38,37,48,51,-52,51,88
"Kayla Doherty","Women's 13 Under Age Group 59kg",58.3,32,35,37,37,45,48,50,50,87
"Michelle Singshi","Open Women's 55kg",54.7,33,35,37,37,41,43,45,45,82
"Evelyn Moore","Women's 13 Under Age Group 55kg",51.5,30,33,35,35,35,40,43,43,78
"Allana Smith","Women's 13 Under Age Group +64kg",67.7,30,33,36,36,35,-38,39,39,75
"Isabella Huipe Hernandez","Women's 13 Under Age Group +64kg",68.65,27,29,-31,29,30,33,35,35,64
"Eloise Kostal","Women's 13 Under Age Group 45kg",45,22,24,26,26,33,35,37,37,63
"Meleoni Afu","Women's 13 Under Age Group 55kg",54.25,21,23,25,25,32,34,36,36,61
"Katelyn Susana Afu","Women's 13 Under Age Group +64kg",71.9,22,24,-26,24,33,35,36,36,60
"Eveleen Kaur","Women's 13 Under Age Group 45kg",42.3,20,23,26,26,25,28,30,30,56
"Everett Lee","Men's 13 Under Age Group 39kg",37.25,17,19,20,20,22,24,26,26,46
"Clyde Moore","Men's 13 Under Age Group 32kg",31.5,15,17,19,19,21,23,25,25,44
"liam afa","Men's 13 Under Age Group 32kg",29.4,13,15,15,15,19,21,23,23,38
"Santiago Puamau","Men's 13 Under Age Group 55kg",49.5,14,15,16,16,18,20,22,22,38
"Christopher Myers","Men's 13 Under Age Group 39kg",37,11,12,13,13,18,20,22,22,35
"Liliana  Layman","Women's 13 Under Age Group 49kg",45.16,12,14,15,15,16,18,-19,18,33
"Noah Wagner","Men's 13 Under Age Group 39kg",37.5,10,11,12,12,15,17,18,18,30
"James Gargan","Men's 13 Under Age Group 49kg",48,10,11,12,12,15,16,17,17,29
"Joel Flores","Men's 13 Under Age Group 32kg",27.65,9,10,11,11,15,17,-18,17,28
"Emilyrose Myers","Women's 13 Under Age Group 30kg",25.25,10,-11,11,11,12,14,16,16,27
"Sebastian Flores","Men's 13 Under Age Group 32kg",21.6,10,-11,11,11,10,12,-14,12,23
"Angelica Rosales","Women's Masters (35-39) 81kg",77.7,-67,-67,-68,0,90,-93,93,93,0
"Alex Gonzales","Open Men's 73kg",70.2,72,-76,-76,72,-94,-94,-98,0,0
"Juan Alcazar","Open Men's +109kg",126.19,130,135,140,140,160,166,-172,166,306
"Patrick Whitmore","Open Men's +109kg",115.24,128,133,-139,133,163,168,-174,168,301
"Alan Ninobla","Open Men's 102kg",101.86,116,120,-123,120,160,165,170,170,290
